Pred,id
0.306382542790506,2021_1101_1104
0.792278793786764,2021_1101_1111
0.894615664900455,2021_1104_1111
0.300450925471218,2021_1101_1116
0.488729950716826,2021_1104_1116
0.0997401527331903,2021_1111_1116
0.267468175404905,2021_1101_1124
0.448324548508338,2021_1104_1124
0.0860796974294735,2021_1111_1124
0.455605238699959,2021_1116_1124
0.390469607105392,2021_1101_1140
0.587762909648816,2021_1104_1140
0.141814273795592,2021_1111_1140
0.594866315435713,2021_1116_1140
0.63352297278224,2021_1124_1140
0.440023089204703,2021_1101_1155
0.636220047669223,2021_1104_1155
0.168536936393132,2021_1111_1155
0.642995635350698,2021_1116_1155
0.679533927741193,2021_1124_1155
0.547663707723383,2021_1140_1155
0.725477131197004,2021_1101_1156
0.854688662002099,2021_1104_1156
0.405362894730791,2021_1111_1156
0.85830142538565,2021_1116_1156
0.877018492978393,2021_1124_1156
0.802833508172656,2021_1140_1156
0.768789746646664,2021_1155_1156
0.416550889460233,2021_1101_1159
0.613752900754632,2021_1104_1159
0.155524534254235,2021_1111_1159
0.620697471236392,2021_1116_1159
0.658305153513118,2021_1124_1159
0.523820770533266,2021_1140_1159
0.473212288628992,2021_1155_1159
0.210817277385643,2021_1156_1159
0.356727317329563,2021_1101_1160
0.552423290730288,2021_1104_1160
0.125147678089719,2021_1111_1160
0.559679453660925,2021_1116_1160
0.599432735091798,2021_1124_1160
0.460757581383523,2021_1140_1160
0.410983292605751,2021_1155_1160
0.171838293646668,2021_1156_1160
0.43448419618718,2021_1159_1160
0.338198922691319,2021_1101_1163
0.53213885580756,2021_1104_1163
0.116469707071,2021_1111_1163
0.539449710055228,2021_1116_1163
0.579657688335649,2021_1124_1163
0.440526168058867,2021_1140_1163
0.391351279506719,2021_1155_1163
0.160516742175576,2021_1156_1163
0.414519610982768,2021_1159_1163
0.47687820534831,2021_1160_1163
0.342519540155479,2021_1101_1166
0.536926977710171,2021_1104_1166
0.118464709519071,2021_1111_1166
0.544227094755524,2021_1116_1166
0.584339363163276,2021_1124_1166
0.445274494762129,2021_1140_1166
0.395944679009149,2021_1155_1166
0.163126923509519,2021_1156_1166
0.419197653780078,2021_1159_1166
0.481681014593054,2021_1160_1166
0.502189306015516,2021_1163_1166
0.453749186669083,2021_1101_1179
0.648973471848395,2021_1104_1179
0.176463003145209,2021_1111_1179
0.655640090660015,2021_1116_1179
0.691505152265835,2021_1124_1179
0.561381383657205,2021_1140_1179
0.511038559112137,2021_1155_1179
0.237109734306582,2021_1156_1179
0.53506353321678,2021_1159_1179
0.597063367231239,2021_1160_1179
0.616639783740167,2021_1163_1179
0.612159297248329,2021_1166_1179
0.693417297313156,2021_1101_1180
0.834271518230154,2021_1104_1180
0.368462318019889,2021_1111_1180
0.838295858137262,2021_1116_1180
0.859222046586913,2021_1124_1180
0.777031138093308,2021_1140_1180
0.739975166059658,2021_1155_1180
0.458368339667897,2021_1156_1180
0.7580765104187,2021_1159_1180
0.801376851940746,2021_1160_1180
0.814117211960982,2021_1163_1180
0.811238214647911,2021_1166_1180
0.72967281249537,2021_1179_1180
0.60951697201088,2021_1101_1186
0.776493186961429,2021_1104_1186
0.28706505673482,2021_1111_1186
0.78155317489047,2021_1116_1186
0.808141863501654,2021_1124_1186
0.706321763144289,2021_1140_1186
0.662616771996977,2021_1155_1186
0.368705273697819,2021_1156_1186
0.683802185067156,2021_1159_1186
0.735762658199071,2021_1160_1186
0.751406155193024,2021_1163_1186
0.747856693955348,2021_1166_1186
0.650696250611845,2021_1179_1186
0.406255638445937,2021_1180_1186
0.395411160418626,2021_1101_1196
0.592773106068624,2021_1104_1196
0.144354252441291,2021_1111_1196
0.599848954823834,2021_1116_1196
0.638319245743503,2021_1124_1196
0.501920335062399,2021_1140_1196
0.451421861941421,2021_1155_1196
0.196600239442036,2021_1156_1196
0.475368924391616,2021_1159_1196
0.538462635709039,2021_1160_1196
0.558782197117066,2021_1163_1196
0.554114462095711,2021_1166_1196
0.438364152920779,2021_1179_1196
0.222809037014944,2021_1180_1196
0.293624697558414,2021_1186_1196
0.321661466435284,2021_1101_1199
0.513475949062575,2021_1104_1199
0.108988940935254,2021_1111_1199
0.520815824138908,2021_1116_1199
0.561327716561066,2021_1124_1199
0.422176993098473,2021_1140_1199
0.373682300978829,2021_1155_1199
0.150689381601602,2021_1156_1199
0.396486011367431,2021_1159_1199
0.458255090837435,2021_1160_1199
0.478687119225258,2021_1163_1199
0.473969718894537,2021_1166_1199
0.361391886192067,2021_1179_1199
0.172088788007666,2021_1180_1199
0.231587555337624,2021_1186_1199
0.418640647656612,2021_1196_1199
0.497874757804427,2021_1101_1207
0.688166766172497,2021_1104_1207
0.203677788987536,2021_1111_1207
0.694439502010812,2021_1116_1207
0.727940412918372,2021_1124_1207
0.60439287822398,2021_1140_1207
0.555074141361806,2021_1155_1207
0.270604348486866,2021_1156_1207
0.578719092476819,2021_1159_1207
0.6388269879339,2021_1160_1207
0.657538167254332,2021_1163_1207
0.653266902293732,2021_1166_1207
0.541980372681178,2021_1179_1207
0.302958407726329,2021_1180_1207
0.386577206022051,2021_1186_1207
0.600917537111408,2021_1196_1207
0.675056767976478,2021_1199_1207
0.352870009058446,2021_1101_1210
0.548253413066258,2021_1104_1210
0.123314422103691,2021_1111_1210
0.555522785842516,2021_1116_1210
0.595380037344607,2021_1124_1210
0.456573794825146,2021_1140_1210
0.406910419166818,2021_1155_1210
0.169453557541511,2021_1156_1210
0.430348585802036,2021_1159_1210
0.493082975588994,2021_1160_1210
0.513595690831144,2021_1163_1210
0.508870079373145,2021_1166_1210
0.394215004162541,2021_1179_1210
0.19291240520488,2021_1180_1210
0.257372670157664,2021_1186_1210
0.452975195809948,2021_1196_1210
0.533250819324944,2021_1199_1210
0.353529690348103,2021_1207_1210
0.267791204284342,2021_1101_1211
0.44873220037887,2021_1104_1211
0.0862094397595707,2021_1111_1211
0.456014038519516,2021_1116_1211
0.496710291724392,2021_1124_1211
0.360417103071728,2021_1140_1211
0.315147420748381,2021_1155_1211
0.120371630144931,2021_1156_1211
0.336297068582202,2021_1159_1211
0.394823685994225,2021_1160_1211
0.414591909739666,2021_1163_1211
0.410009370592946,2021_1166_1211
0.303848231906606,2021_1179_1211
0.138166018637953,2021_1180_1211
0.188608090750076,2021_1186_1211
0.357078391748641,2021_1196_1211
0.43383757027913,2021_1199_1211
0.268357790357202,2021_1207_1211
0.400185619561586,2021_1210_1211
0.625392352938815,2021_1101_1213
0.787941838941397,2021_1104_1213
0.301016179716327,2021_1111_1213
0.792811797641876,2021_1116_1213
0.818348625909426,2021_1124_1213
0.720068996422353,2021_1140_1213
0.677475670584582,2021_1155_1213
0.384484299916454,2021_1156_1213
0.698153078781968,2021_1159_1213
0.748622224855442,2021_1160_1213
0.763748860864871,2021_1163_1213
0.760319417192242,2021_1166_1213
0.665815369760361,2021_1179_1213
0.422565995571504,2021_1180_1213
0.514815218876597,2021_1186_1213
0.717134254427301,2021_1196_1213
0.777671352129114,2021_1199_1213
0.626068615458215,2021_1207_1213
0.752812007023311,2021_1210_1213
0.819533163164426,2021_1211_1213
0.806578660798603,2021_1101_1216
0.902735383151306,2021_1104_1216
0.51823364080912,2021_1111_1216
0.905285974341619,2021_1116_1216
0.918386948047299,2021_1124_1216
0.865324264293408,2021_1140_1216
0.839919006071495,2021_1155_1216
0.609419554820749,2021_1156_1216
0.852450179528602,2021_1159_1216
0.881499587702635,2021_1160_1216
0.889807286109292,2021_1163_1216
0.887939230481886,2021_1166_1216
0.832681116616227,2021_1179_1216
0.646383954752856,2021_1180_1216
0.726057051226795,2021_1186_1216
0.863623937156723,2021_1196_1216
0.897299971115328,2021_1199_1216
0.807028761971919,2021_1207_1216
0.883818375021035,2021_1210_1216
0.918983723488837,2021_1211_1216
0.713098729235287,2021_1213_1216
0.269551661219512,2021_1101_1222
0.450949574929704,2021_1104_1222
0.0869178816807824,2021_1111_1222
0.458237485391154,2021_1116_1222
0.498950166158039,2021_1124_1222
0.362485030863442,2021_1140_1222
0.317084379602153,2021_1155_1222
0.121323533217667,2021_1156_1222
0.338299805647599,2021_1159_1222
0.396966498785303,2021_1160_1222
0.416768124074138,2021_1163_1222
0.4121784670506,2021_1166_1222
0.305746747760139,2021_1179_1222
0.139236366005509,2021_1180_1222
0.189983063243586,2021_1186_1222
0.359137919919708,2021_1196_1222
0.436039560526231,2021_1199_1222
0.270120597925904,2021_1207_1222
0.402338186069251,2021_1210_1222
0.500947342920761,2021_1211_1222
0.180295427715127,2021_1213_1222
0.0809547187776722,2021_1216_1222
0.309677310835228,2021_1101_1228
0.499608838105085,2021_1104_1228
0.103716837475703,2021_1111_1228
0.506957038140383,2021_1116_1228
0.547622895900301,2021_1124_1228
0.4087042644418,2021_1140_1228
0.360790851092201,2021_1155_1228
0.143725491324795,2021_1156_1228
0.383289303457112,2021_1159_1228
0.444516742432797,2021_1160_1228
0.464861839838756,2021_1163_1228
0.460160421848465,2021_1166_1228
0.348688383745035,2021_1179_1228
0.164327299030347,2021_1180_1228
0.221861689604028,2021_1186_1228
0.405201633398792,2021_1196_1228
0.48450970381809,2021_1199_1228
0.310294962503851,2021_1207_1228
0.450051662748791,2021_1210_1228
0.549601194248521,2021_1211_1228
0.21097187851423,2021_1213_1228
0.0967232383638915,2021_1216_1228
0.547684204176228,2021_1222_1228
0.720243812626208,2021_1101_1233
0.851414053208304,2021_1104_1233
0.399081832857129,2021_1111_1233
0.85509442755863,2021_1116_1233
